,album_id,album_name,artist,genre
0,10266031,Big Willie Style,Will Smith,Rap
1,10266041,War,U2,Pop/Rock
2,10266127,Led Zeppelin,Led Zeppelin,Pop/Rock
3,10266180,Power Windows,Rush,Pop/Rock
4,10266202,Willennium,Will Smith,Rap
5,10266231,Parachutes,Coldplay,Pop/Rock
6,10266299,Hold Your Fire,Rush,Pop/Rock
7,10266444,Counterparts,Rush,Pop/Rock
8,10267122,1956-1958: Cobra Recordings,Otis Rush,Other
9,10267496,The Cobra Sessions 1956-1958,Otis Rush,Other
10,10268810,Hell Awaits,Slayer,Pop/Rock
11,10268811,Show No Mercy,Slayer,Pop/Rock
12,10275954,...And Justice for All,Metallica,Pop/Rock
13,10275997,"Eagles Greatest Hits, Volume 2",Eagles,Pop/Rock
14,10276153,Rattle and Hum,U2,Pop/Rock
15,10276577,Houses of the Holy,Led Zeppelin,Pop/Rock
16,10291870,-1958,Otis Rush,Other
17,10276730,Metallica,Metallica,Pop/Rock
18,10276732,Reload,Metallica,Pop/Rock
19,10276783,Divine Intervention,Slayer,Pop/Rock
20,10276803,Ride the Lightning,Metallica,Pop/Rock
21,10276840,Kill 'Em All,Metallica,Pop/Rock
22,10276853,Pinkerton,Weezer,Pop/Rock
23,10276866,Big Ones,Aerosmith,Pop/Rock
24,10291909,"Blues, Songs and Ballads",Tom Rush,Other
25,10277014,Get a Grip,Aerosmith,Pop/Rock
26,10277039,Load,Metallica,Pop/Rock
27,10277057,Zooropa,U2,Pop/Rock
28,10277060,Hell Freezes Over,Eagles,Pop/Rock
29,10277474,Pump,Aerosmith,Pop/Rock
30,10277481,Permanent Vacation,Aerosmith,Pop/Rock
31,10329978,I Can't Quit You Baby,Otis Rush,Other
32,10277648,Physical Graffiti,Led Zeppelin,Pop/Rock
33,10277783,Nine Lives,Aerosmith,Pop/Rock
34,10277935,Retrospective I: 1974-1980,Rush,Pop/Rock
35,10278347,In Through the Out Door,Led Zeppelin,Pop/Rock
36,10278522,Presto,Rush,Pop/Rock
37,10278570,Roll the Bones,Rush,Pop/Rock
38,10278614,Achtung Baby,U2,Pop/Rock
39,10278758,The ABBA Generation,A*Teens,Pop/Rock
40,10412323,Double Trouble,Otis Rush,Other
41,10279676,Grace Under Pressure,Rush,Pop/Rock
42,10421122,Lost In the Blues,Otis Rush,Other
43,10279969,Reign in Blood,Slayer,Pop/Rock
44,10279971,Test for Echo,Rush,Pop/Rock
45,10280011,Seasons In the Abyss,Slayer,Pop/Rock
46,10280176,Before the Storm,Darude,Other
1434,24495702,24K Magic,Bruno Mars,Pop/Rock
48,10280391,The Slim Shady LP,Eminem,Rap
49,10280416,Toys in the Attic,Aerosmith,Pop/Rock
50,10433542,Screamin' and Cryin',Otis Rush,Other
51,10280555,Diabolus In Musica,Slayer,Pop/Rock
52,10280728,"He’s the DJ, I’m the Rapper",DJ Jazzy Jeff & The Fresh Prince,Pop/Rock
53,10436081,Beanie Sigel Public Enemy #1,DJ Green Lantern feat. Eminem,Other
54,10436578,Aerosmith / Guns N' Roses,Aerosmith / Guns N’ Roses,Pop/Rock
55,10281463,Ease Down the Road,"Bonnie ""Prince"" Billy",Pop/Rock
56,10444590,Ain't Enough Comin' In,Otis Rush,Other
57,10283411,Rush,Rush,Pop/Rock
58,10283478,Eagles,Eagles,Pop/Rock
59,10284391,Chronicles,Rush,Pop/Rock
60,10284405,Come,Prince,Pop/Rock
61,10284499,Kill 'em All,Metallica,Pop/Rock
62,10284682,God Hates Us All,Slayer,Pop/Rock
63,18753589,תני לו ללכת,חיים אוליאל,Other
64,10285026,Moving Pictures,Rush,Pop/Rock
65,10287793,A Prince Among Thieves,Prince Paul,Rap
66,10288082,Diabolus in Musica,Slayer,Pop/Rock
67,10288786,Weezer,Weezer,Pop/Rock
68,10288939,South of Heaven,Slayer,Pop/Rock
69,10289434,Wild Wild West,Will Smith,Rap
70,18359068,Ikvot Bachol,חיים ישראל,Other
71,10289676,Permanent Waves,Rush,Pop/Rock
72,10444594,Cold Day in Hell,Otis Rush,Other
73,10290479,Reign In Blood,Slayer,Pop/Rock
74,10290929,Third Eye Open: The String Quartet Tribute to Tool,Vitamin String Quartet,Pop/Rock
