,genre,body_text_clean,genre_Country,genre_Other,genre_Pop/Rock,genre_Rap
0,Rap,drake scorpion feel trap trapmoneybenni shit got feel gotta real yup kiki love ride say youll never ever leav besid caus want ya need ya im alway kb love ride say youll never ever leav besid caus want ya need ya im alway look new realli still real swear gotta feel tri kill gotta make choic runnin option caus ive go dont know stop get top see youv learn take shop spend like earn pop ex deserv thought one jump confirm trapmoneybenni buy champagn love henni block like jenni know special girl caus know mani resha love ride say youll never ever leav besid caus want ya need ya lyric commerci use 1409617854061,0,0,0,1
11,Rap,drake scorpion sandra rose yeah babi babi babi babi babi babi babi yeah babi babi babi babi babi babi babi ooh yeah nigga see crib ask steal price tag makin world feel dont enough satisfi real one maverick carter couldnt even get deal done nigga scare come toward us gotta run us louisvil hush money young gunner rick pitino take em strip club casino stack cnote get nigga scratch like preemo worm open mother flower shop sandra rose two girl rope like indiana jone make hoe walk togeth like im amber rose yeah fuck got ant california girl sweeter piec candi nipsey hood go link sammi type hood bandana make nigga famili lyric commerci use 1409617854061,0,0,0,1
15,Rap,drake scorpion summer game think your changin mind startin see eye use love good surpris id rather know ahead time said love fast much girl summer start alreadi done yeah say lead follow follow one friend unfollow block cant see likin someon like expect honestli said want simpl life that go endin someon like angri night juli lyric commerci use 1409617854061,0,0,0,1
21,Rap,drake feat michael jackson scorpion dont matter aye wild thing your doin night trip wherev feel right doin feel thing drink enough vice drug arent suit right fine real thing thing know that way get dont know your sayin know that way get sudden say dont want sudden say close door dont matter lyric commerci use 1409617854061,0,0,0,1
24,Rap,drake scorpion 14mar go yeah yesterday morn crazi come term fact mayb shit stone seal sign lover like billi jean kid mine sandi use tell take one time took one time shit met two time two time time nothin like new time rough time im front line tryin make sure see sometim breakin spirit singl father hate hear use challeng parent everi album im embarrass tell em end copar alway promis famili unit want differ ive harsh truth fairi tale save bedtim stori tell dont want worri bout whose hous live love who fore got nah look im proud let come lyric commerci use 1409617854061,0,0,0,1
32,Pop/Rock,maroon 5 red pill blue delux bet heart time convers dont want complic leav girl alon youll one come home love love time attent patienc im give aint way usual play would lose bet heart would lose bet heart dont wanna slow wont let know would lose oh bet heart bet heart lyric commerci use 1409617854061,0,0,1,0
34,Pop/Rock,maroon 5 feat lunchmoney lewi red pill blue delux hello thing man see one goe lover lover lover spend night day cover girl sun could burn youll still shine oh yeah dont ask love caus im sure night long dont ask need caus im sure time come oh oh hey babi shouldnt say understand caus alreadi got palm hand wait coupl lifetim ask ooh ooh ooh ay ooh ooh ooh ay lyric commerci use 1409617854061,0,0,1,0
37,Pop/Rock,maroon 5 red pill blue delux closur come tell say want face face bottl open pour emot knew came would stay want closur come close door know know know realli came want closur come close door know know know realli came know want babi realli came closur know want babi know came closur end situat lyric commerci use 1409617854061,0,0,1,0
42,Pop/Rock,maroon 5 feat futur red pill blue delux cold cold enough chill bone feel like dont know anymor dont understand your cold everi breath breath see there someth go dont understand your cold take time time cant take ask space hous know fuck act like togeth everyth weve sleep cover far away distant kiss feel differ babi tell get cold enough chill bone feel like dont know anymor dont understand your cold everi breath breath see there someth go dont understand your cold yeah woah yeah woah yeah dont understand your cold lyric commerci use 1409617854061,0,0,1,0
43,Pop/Rock,maroon 5 red pill blue delux move like jagger live manchest oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh shoot star feel right aim heart feel like take away make okay swear ill behav want control wait put show nake say im kid ego big dont give shit goe like take tongu ill know kiss till your drunk ill show move like jagger ive got move like jagger ive got move like jagger dont need tri control look eye ill ooown move like jagger ive got move like jagger ive got move mayb hard feel like your broken scar noth feel right your make believ ive got key yeah lyric commerci use 1409617854061,0,0,1,0
