,genre,body_text_clean
0,Rap,drake scorpion feel trap trapmoneybenni shit got feel gotta real yup kiki love ride say youll never ever leav besid caus want ya need ya im alway kb love ride say youll never ever leav besid caus want ya need ya im alway look new realli still real swear gotta feel tri kill gotta make choic runnin option caus ive go dont know stop get top see youv learn take shop spend like earn pop ex deserv thought one jump confirm trapmoneybenni buy champagn love henni block like jenni know special girl caus know mani resha love ride say youll never ever leav besid caus want ya need ya lyric commerci use 1409617854061
1,Rap,drake scorpion nice wanna know mothafuckin representin tonight hold hold keep lettin back back explain care care said youd care said youd lil weezyana shit cri cri said youd die murda beat give give wont live care care know care song yall cut know said youd yeah cri cri said youd die give give wont live everybodi get mothafuckin roll know shorti doesnt want slow song man last year life goe havent let thing loos girl long youv insid know like lay low ive peepin bringin tabl workin hard girl everyth paid firstlast phone bill car note cabl phone gotta hit angl phone snappin like fabo showin alright showin alright alright short life yeah care care said youd care lyric commerci use 1409617854061
2,Rap,drake scorpion god plan yeah wishin wishin wishin wishin wishin yuh movin calm dont start troubl tryna keep peac struggl dont pull 6 cuddl know like lovin dont wanna die miss ye see thing wishin hope got brother outliv gon tell stori shit differ god plan god plan hold back sometim wont yuh feel good sometim dont ayi dont finess weston road ayi ness might go god yeah wait lyric commerci use 1409617854061
3,Rap,drake scorpion nonstop tay keith fuck nigga look flip switch flip flip dont know nobodi els that doin bodi start drop ayi hit floor wanna know sinc hit top ayi rolli stopwatch shit dont ever stop flow got block hot shit got super hot ayi give respect give respect took left like im ambidex bitch move london euro step got sneaker deal aint break sweat catch caus im goin outta im gone go six twentythre like im lebron servin pack ayi servin pack nigga pullin gimmick caus scare rap ayi funni shook ayi got nigga shook pullin back curtain take look ayi im bar spitta im hard hitta yeah im lightskin im still dark nigga im wig splitta im tall figur im unforgivin wildass dog nigga somethin wrong em got em bitter im bill printer im grave digger yeah dont time misunderstand lyric commerci use 1409617854061
5,Rap,drake scorpion elev ayi elev elev oblig tell straight much plate gotta deleg baka pass drug test gotta celebr im bed awak thinkin howd make happen famili happen famili there way real man cant yeah yeah need cant call stay busi makin money know mind think hunnid stay busi bzz workin stay busi busi homi lyric commerci use 1409617854061
7,Rap,drake scorpion im upset yeah im workin dyin im upset fifti thousand head disrespect offend doubl check ima alway take money sex that need way expect got lot blood cold keep tryna get soul thank women know cant go fiftyfifti hoe everi month im suppos pay bill get want still got like seven year doin want dad still got child support 1991 outta town peopl love pop lot shit come around word flacko jody done seen us put lyric commerci use 1409617854061
9,Rap,drake scorpion mob tie ayi sick nigga sick sick nigga sick sick hire help help get rid nigga skrr sick shit move ritz turn bitch ayi yeah gle caus lambo movin fast skrr class g class lotta class sss sss rocket bitch aint got tag skrr skrr loui bag exchang bodi bag yeah im sick nigga sick sick nigga sick sick hire help help get rid nigga grr fuck whatev im tire tire fuck mob got tie lotta tie lotta tie knock pay tith dodoo want gone dont know late loveydovey shit im brother shit shit lyric commerci use 1409617854061
10,Rap,drake scorpion cant take joke ayo blast shit maxx blast shit back blastin ayi uberx hidden hill give somethin feel come hidden hill know know deal right road could hit stone im tryna set tone ive kick none shit matter nigga think run town til run em town gotta reloc gotta dip stay everyth okay man stay way skit around end bro im kit toe touch studio got one lyric commerci use 1409617854061
11,Rap,drake scorpion sandra rose yeah babi babi babi babi babi babi babi yeah babi babi babi babi babi babi babi ooh yeah nigga see crib ask steal price tag makin world feel dont enough satisfi real one maverick carter couldnt even get deal done nigga scare come toward us gotta run us louisvil hush money young gunner rick pitino take em strip club casino stack cnote get nigga scratch like preemo worm open mother flower shop sandra rose two girl rope like indiana jone make hoe walk togeth like im amber rose yeah fuck got ant california girl sweeter piec candi nipsey hood go link sammi type hood bandana make nigga famili lyric commerci use 1409617854061
12,Rap,drake feat jayz scorpion talk ayi ayi lot 6s tonight yeah yeah ayi dopeman ten us movin one im proud ive becom might think ive taken lump talkin bout sum yeah intent pure cannot tell relax mention joke never give fact isnt cant ignorin stat base gotta run max gotta run max gotta doubl rack set real didnt come slap heard shit skippin get trippin comin back dont understand nigga gotta adapt know im put 6 map shorti bent want vent lyric commerci use 1409617854061
13,Rap,drake scorpion holdin end bargain beggin beggin pardon tryin tryin hardest problem math problem profit lyin lyin tropic cryin cryin laughin bout lackin lack respons rest rest comma still rise maya angel vibe life comin angl side dont wanna see smilin insid realli boil plan surviv love certain one never get attach em give em nice thing what em especi anoth girl flew flickin bathroom recogn bathroom hell start break loos text tell lie gotta protect would rather rememb met would rather lose leg lose respect thatll never happen way im watchin step aint im bout im control destini never doubt lyric commerci use 1409617854061
14,Rap,drake scorpion peak treat like princess rest heaven diana piquin interest got peak like montana england breed proper girl good manner repli pleasantri honestli cant stand ya oh oh oh oh oh oh oh gon make turn oh oh oh oh oh oh oh gon make turn thought never missin beat lyric commerci use 1409617854061
15,Rap,drake scorpion summer game think your changin mind startin see eye use love good surpris id rather know ahead time said love fast much girl summer start alreadi done yeah say lead follow follow one friend unfollow block cant see likin someon like expect honestli said want simpl life that go endin someon like angri night juli lyric commerci use 1409617854061
17,Rap,drake scorpion finess yeah turn everyth yeah oh yeah turn everyth littl want babi eye im go advic new york cant decid fashion week thing mine cant even lie id rather stay insid cant suit tie cant room stand differ side lyric commerci use 1409617854061
19,Rap,drake scorpion that feel yeah woo im cut sittin sideway way lookin time time get tickin take toll told couldnt realli draw line line ringin sayin told thing thing couldv kept insid sidetrackin good somebodi would stand behind know like drink til sun grind til come work winter shine summer ride brother die mother keep shit hunna know wanna lyric commerci use 1409617854061
20,Rap,drake scorpion blue tint mario pluto gang gang gang gang gang look im fuckin ice watch ice get thin sink swim attitud summer bein nice doubl price top chart back heart nigga strike woah nigga bitter life hate wanna put knife rib woah way shit set live like ronaldo never madrid woah said workin told come get right crib woah finish six say got court morn fight kid told id pray kid lyric commerci use 1409617854061
21,Rap,drake feat michael jackson scorpion dont matter aye wild thing your doin night trip wherev feel right doin feel thing drink enough vice drug arent suit right fine real thing thing know that way get dont know your sayin know that way get sudden say dont want sudden say close door dont matter lyric commerci use 1409617854061
22,Rap,drake feat static major ty dolla ign scorpion dark haha haha yeah ayi dark whip low one gotta know dark knockin door dont gotta work anymor dark put phone your gonna need two hand dark cant get enough girl know set dark late night like left eye im creepin assum worst caus havent heard weekend silenc drivin wall wall cannot tell your duckin call missin call caus youv patient drink job smoke job dont know seriou take cant offer much youv heard narr isnt changin wanna make prioriti wanna let know there wanna faith restor ill way lyric commerci use 1409617854061
23,Rap,drake scorpion final fantasi yeah never realli talk dick wanna give place wanna get neck grab head grab arch back heart attack cardiac need nasti like like evil angel like vivid know nasti like give know need open like kai kitchen pussi kinda sound like wave hittin kshh soothin keep right movin make way around base wanna take oasis bein honest dont realli know patienc ayi freaki like red leather michael zombi reviv aint like new aint high school high like best your fresh face foundat lyric commerci use 1409617854061
