index,album,artist,genre
10266031,Big Willie Style,Will Smith,Rap
10266041,War,U2,Pop/Rock
10266127,Led Zeppelin,Led Zeppelin,Pop/Rock
10266180,Power Windows,Rush,Pop/Rock
10266202,Willennium,Will Smith,Rap
10266231,Parachutes,Coldplay,Pop/Rock
10266299,Hold Your Fire,Rush,Pop/Rock
10266444,Counterparts,Rush,Pop/Rock
10267122,1956-1958: Cobra Recordings,Otis Rush,Blues
10267496,The Cobra Sessions 1956-1958,Otis Rush,Blues
10268810,Hell Awaits,Slayer,Pop/Rock
10268811,Show No Mercy,Slayer,Pop/Rock
10275954,...And Justice for All,Metallica,Pop/Rock
10275997,"Eagles Greatest Hits, Volume 2",Eagles,Pop/Rock
10276153,Rattle and Hum,U2,Pop/Rock
10276577,Houses of the Holy,Led Zeppelin,Pop/Rock
10276578,Led Zeppelin III,Led Zeppelin,R&B;
10276730,Metallica,Metallica,Pop/Rock
10276732,Reload,Metallica,Pop/Rock
10276783,Divine Intervention,Slayer,Pop/Rock
10276803,Ride the Lightning,Metallica,Pop/Rock
10276840,Kill 'Em All,Metallica,Pop/Rock
10276853,Pinkerton,Weezer,Pop/Rock
10276866,Big Ones,Aerosmith,Pop/Rock
10276937,The Hits 1,Prince,R&B;
10277014,Get a Grip,Aerosmith,Pop/Rock
10277039,Load,Metallica,Pop/Rock
10277057,Zooropa,U2,Pop/Rock
10277060,Hell Freezes Over,Eagles,Pop/Rock
10277474,Pump,Aerosmith,Pop/Rock
10277481,Permanent Vacation,Aerosmith,Pop/Rock
10277647,Led Zeppelin II,Led Zeppelin,R&B;
10277648,Physical Graffiti,Led Zeppelin,Pop/Rock
10277783,Nine Lives,Aerosmith,Pop/Rock
10277935,Retrospective I: 1974-1980,Rush,Pop/Rock
10278347,In Through the Out Door,Led Zeppelin,Pop/Rock
10278522,Presto,Rush,Pop/Rock
10278570,Roll the Bones,Rush,Pop/Rock
10278614,Achtung Baby,U2,Pop/Rock
10278758,The ABBA Generation,A*Teens,Pop/Rock
10279668,Soul of a Woman,Kelly Price,R&B;
10279676,Grace Under Pressure,Rush,Pop/Rock
10279712,Crystal Ball,Prince,R&B;
10279969,Reign in Blood,Slayer,Pop/Rock
10279971,Test for Echo,Rush,Pop/Rock
