,explicit,body_text_clean,explicit text
0,1,drake feel trap trapmoneybenni shit got feel gotta real yup kiki love ride say youll never ever leav besid caus want ya need ya im alway kb love ride say youll never ever leav besid caus want ya need ya im alway look new realli still real swear gotta feel tri kill gotta make choic runnin option caus ive go dont know stop get top see youv learn take shop spend like earn pop ex deserv thought one jump confirm trapmoneybenni buy champagn love henni block like jenni know special girl caus know mani resha love ride say youll never ever leav besid caus want ya need ya lyric commerci use 1409617854061,yes
1,1,dj khale feat justin bieber quavo chanc rapper brainer best music anoth one dj khale stick crowd babi nobrain aint hard choos real babi nobrain got mind unloos go hard watch sun rise one nightll chang whole life pop top droptop babi nobrain put em yeah yeaheah yeah yeaheaheah middl woah woahwoahoah oh ohoh ooh put em high put em high yeaheaheah yeah yeaheaheah arm yeah woahwoahoah oh ohoh ooh put em high quavo mama told dont talk stranger mama mama mama your ridin drop cant explain skrrt skrrt skrrtskrrt waitin whole time yeah blow brain outta yo mind ooh aint talkin bout physic im talkin bout mental talkin bout mental lookin look like nasti lookin lookin look like classi lookin lookin look dancin look lookin took mansion yeah yeah stick crowd babi nobrain aint hard choos real babi nobrain got mind unloos go hard watch sun rise lyric commerci use 1409617854061,yes
2,1,maroon 5 feat cardi b girl like spent twentyfour hour need hour spent weekend get even ooh spent late night make thing right us good babe roll back wood babe play close caus girl like run round guy like til sun come need girl like yeahyeah girl like love fun yeah want come need girl like yeahyeah yeahyeahyeah yeahyeahyeah need girl like yeahyeah yeahyeahyeah yeahyeahyeah need girl like spent last night last flight took whole day tryna get way ooh spent daylight tryna make thing right us good babe roll back wood babe play close yeah lyric commerci use 1409617854061,yes
3,1,cardi b feat bad bunni j balvin like yeah babi like like gotta believ tell said like like gotta believ tell said like like like dollar like diamond like stunt like shine like million dollar deal where pen bitch im signin signin like balenciaga one look like sock like go jewel put rock watch chach like text exe want second chanc like prove nigga wrong say cant cant call cardi bardi bang bodi spici mami hot tamal hotter somali fur coat ferrari hop stu jump coup coup big dipper top roof flex bitch hard eat halal drive lam told bitch im sorri sorri bout coin like mario mario yeah call cardi b run shit like cardio oh damn diamond district jag gang said like like certifi know im gang gang gang gang said like like drop top blow brain wouh wouh said like like oh he handsom what name yeah wouh said like oh need dollar chach said like like beat like piñata said like like lyric commerci use 1409617854061,yes
4,1,6ix9in feat nicki minaj murda beatz fefe fuckin treyway king new york lookin queen uh got right one let bitch know nigga queen brooklyn murda beat nice pussi got wet wet got drip drip got super soaker hit fefe hun keke clean dick like freak freak dont even know like dont even know like hit know cant wife talk nice wont fight back turn around hit back back back murder damn thing make clap clap clap dont realli want fame dont realli want friend draco got kickback blow thing track dont shoot back one shot close rang red dot head tie yeah think yeah live call uber shooter ruger gon lyric commerci use 1409617854061,yes
5,0,kenni chesney get along met man wearin tshirt said virginia lover bibl left hand bottl said your realli given sunshin name start laughin sky start rain get along road weve got long long way go scare live scare die aint perfect tri get along alway give love upper hand paint wall learn danc call mom buy boat drink beer sing song make friend cant get along lyric commerci use 1409617854061,no
6,0,imagin dragon natur hold line everi one give give tell hous mine noth ever come without consequ cost tell star align heaven step save us sin caus hous mine stand strong that price pay leav behind heartach cast away anoth product today rather hunter prey your stand edg face caus your natur beat heart stone gotta cold make world yeah your natur live life cutthroat gotta cold lyric commerci use 1409617854061,no
7,1,post malon better probabl think better better say caus im around around know never meant let let woulda gave anyth woulda gave everyth know say better better say caus your around around know never meant let let woulda gave anyth woulda gave everyth ohwoah believ would end everyth came second benzo your even speakin friend knew uncl aunt though twenti candl blow em open eye lookin forward rest live use keep pictur post bedsid dresser sock dont like im rollin rollin rollin rollin brother like jona jona lyric commerci use 1409617854061,yes
8,1,florida georgia line simpl way finger fit mine five plu five rocket scienc day time that hard find true road aint traffic jam sunday drive piec land paradis long im like one two three easi way look make smile aint need complic know that overr weve safe say aint style simpl simpl simpl simpl simpl simpl use live instagram lyric commerci use 1409617854061,yes
9,0,demi lovato sober got excus goodby call caus im die insid wake shake gone cold sweat disappear call reappear dont know dont know dont know dont know everi everi everi time im lone sometim wanna cave dont wanna fight tri tri tri tri tri hold im lone lyric commerci use 1409617854061,no
10,1,5 second summer youngblood rememb word told love til day die surrend everyth caus made believ your mine yeah use call babi your call name take one know one yeah beat damn game push push im pull away pull away give give give take give take youngblood say want say want life im dead man walk tonight need yeah need time yeah ooh ooh ooh youngblood say want say want back life im dead man crawl tonight caus need yeah need time yeah ooh ooh ooh lyric commerci use 1409617854061,yes
11,0,lauren daigl say keep fight voic mind say im enough everi singl lie tell never measur song everi high everi low remind need know ooh oh say love cant feel thing say strong think weak say held fall short dont belong oh say believ oh believ say believ lyric commerci use 1409617854061,no
12,1,brett young merci merci gotta show lookin good hurt wanna stop whole damn world turn merci hang tight aint work wanna stop flame still burn caus still burn your gonna break heart break your gonna take shot take take made mind make make fast ever love merci lyric commerci use 1409617854061,yes
13,1,juic wrld lucid dream still see shadow room cant take back love gave point love hate cannot chang must replac oh easier said done thought one listenin heart instead head found anoth one better one wont let forget still see shadow room cant take back love gave point love hate cannot chang must replac oh easier said done thought one listenin heart instead head found anoth one better one wont let forget left fall land insid grave know want dead cough take prescript make feel aokay know head lyric commerci use 1409617854061,yes
14,1,khalid normani love lie sorri hard catch vibe mmm need lover trust tell your side ride easi someon catch eye ive waitin whole damn life whole lifetim dont afraid tell aint aint see your focus yeah your independ independ hard open ill admit ill admit youv got shit say im listen babi tell love lie wast day spend night underneath sunris show love lie ive mysteri histori lyric commerci use 1409617854061,yes
15,1,taylor swift delic aint best reput never wors must like cant make promis babe make drink dive bar east side phone light nightstand black come meet back dark jean nike look oh damn never seen color blue think fun thing could caus like aint best reput never wors must like yeah want cant make promis babe make drink cool said chill your head caus know delic delic cool said soon yet caus know delic lyric commerci use 1409617854061,yes
16,1,jason aldean feat miranda lambert drown whiskey folk lynchburg tennesse work hard good ol boy like dont wanna one tell em stuff theyv sell aint work like damn sure wish would whiskey suppos drown memori ive gone one one mani thing realli get memori drown whiskey mayb bar stool im lyric commerci use 1409617854061,yes
